condition_id,event_slug,game_start_utc,cutoff_utc,away_token,kickoff_price,minutes_before,day_before_price,points,home_token_kickoff_price
0xc350c67905c6c3b294f7d0296a27af3b221f2f53ace61817281ef9bd2f7ae059,nfl-mia-atl-2024-08-09,2024-08-08T23:00:00Z,2024-08-08T23:00:00Z,84782319822701372418020774321247147364923197582699680151900156404141954967193,0.425,1.0,0.445,1440,
0x2c9e06b6e56eb626beea2493361a7eed6d6f5225ae11f1039a441bdb38ddbcb9,nfl-ne-car-2024-08-08,2024-08-08T23:00:00Z,2024-08-08T23:00:00Z,54845426279977410835074011280121730103859577465356121442696230233180477514766,0.72,1.0,0.725,1440,
0x1e4cc8b71d164b61c11a01e20050cc89a4a614a24c1091c14aa9adc05896b05c,nfl-nyg-det-2024-08-08,2024-08-08T23:00:00Z,2024-08-08T23:00:00Z,74690884199765406076012261487902653084988697638977488876001290300099066944474,0.645,1.0,0.625,1440,
0x1e0e3376d6e50157035c946bbc714815af44b9f017a454f91c2df93e7221bfe8,nfl-pit-hou-2024-08-09,2024-08-08T23:00:00Z,2024-08-08T23:00:00Z,99414131493497876580013603382579414801939663361290293421785813507902141059074,0.445,1.0,0.455,1440,
0x7613667579785d4f6e981e78d81099bb48af4c8a37f3f54aafaabd629691511c,nfl-bal-phi-2024-08-09,2024-08-08T23:30:00Z,2024-08-08T23:30:00Z,58635080483157066746693733711249022664096895589944567454135870801207475802986,0.475,1.0,0.465,1440,
0xd46869ee4d90141f2fab3a40738a0edb33fe94e2d355d08aa4de978247f5aab4,nfl-nyj-wsh-2024-08-10,2024-08-10T16:00:00Z,2024-08-10T16:00:00Z,108645642441514902129865528329972993910791501048303871673421008008303011070540,0.415,1.0,0.415,1440,
0x41c0924d37aeb35920ca4d1678f54adf62091ef2cdf4ecd0b5b14ab8a94a4cb4,nfl-buf-chi-2024-08-10,2024-08-10T17:00:00Z,2024-08-10T17:00:00Z,42992609268953340650434555444177533413443035964092571550700726059654946099891,0.585,1.0,0.535,1440,0.415
0x0d8cbc863ef16e86b99663877df5b7c636a76168ee3eb042a9a66967c4de150f,nfl-min-las-2024-08-10,2024-08-10T20:00:00Z,2024-08-10T20:00:00Z,1651462181290356896381651467154010534670925125016793850849443913703200931529,0.4,1.0,0.39,1440,
0x990dde5becba8babe20283331f3bdaccc711022f5c578bfd1c03af958dec40a4,nfl-cle-gb-2024-08-10,2024-08-10T20:25:00Z,2024-08-10T20:25:00Z,41099427276406301514637012344744341115521211459478028605337309128657147223980,0.815,1.0,0.695,1440,
0x3e3a32ceb5076f7659a8a66b4ed8324fbf9f80c2439bbe53ccb16b30fed1e0a0,nfl-cin-tb-2024-08-10,2024-08-10T23:00:00Z,2024-08-10T23:00:00Z,22366991165951249823187878798081390753430317190079230985098096684507546686188,0.69,1.0,0.69,1440,
0xba8ef02cc8e9819d8d46954f568d98abd1d43cc5d4647eb916020a79a5a5d20f,nfl-jax-kc-2024-08-10,2024-08-10T23:00:00Z,2024-08-10T23:00:00Z,90943405455376544824926683621839963203149883718648635847158071297023283333091,0.705,1.0,0.515,1440,
0x0ad68cef63e0d6fc1700ca4ea272a70c409e1a52ce93a6cc6373f711dba7f1d5,nfl-ten-sf-2024-08-10,2024-08-10T23:00:00Z,2024-08-10T23:00:00Z,22104130472177828026697190670257838460437241105572312016566637708724705181178,0.695,1.0,0.675,1440,
0xa50376835907c3e8a4a5c71920b3603933cf9e4e52607c751dae5142cf670c40,nfl-lac-sea-2024-08-10,2024-08-10T23:05:00Z,2024-08-10T23:05:00Z,38344266540775944157909813787579223413239554485221332263919664109867651150130,0.605,1.0,0.4,1440,
0xf560a49cec303d35f21cbfe9e15f854fb5a4438d374f4835213042b7ce4b8b83,nfl-ari-no-2024-08-10,2024-08-11T00:00:00Z,2024-08-11T00:00:00Z,65716471656297055170127208946093500741541347908119250515706774410253604633485,0.32,1.0,0.435,1440,
0x4767200a3408052dbd2a28f00b4eab336eb8fab551093529d7314e9d4604a3f0,nfl-ind-den-2024-08-11,2024-08-11T17:00:00Z,2024-08-11T17:00:00Z,58475458840823181620946181788662303518668666918449783139197591797048209007491,0.535,1.0,0.52,1440,
0x50b55c2f36de0c195b944b569824f1e6239d8a16905c8e85dee272a7514e96ac,nfl-lar-dal-2024-08-11,2024-08-11T20:30:00Z,2024-08-11T20:30:00Z,71103298443938986491314080805640065254295319529540573424228647001611116260012,0.325,1.0,0.345,1440,
0xdcc5d1482abf4ed554b1efdfce19a82bd04edc346d4afb79051d943c6959dde5,nfl-ne-phi-2024-08-15,2024-08-15T23:00:00Z,2024-08-15T23:00:00Z,2679955851603062960555404472574405800294164802437788353585300184007116597118,0.605,1.0,0.57,1440,
0x5f1043f4ce5bf0fe03ad5e4735850301126fb2d1216ad7b7573195a290b62865,nfl-bal-atl-2024-08-17,2024-08-17T16:00:00Z,2024-08-17T16:00:00Z,87605209628578543551659074787229454002586674236272334043648437037666333495301,0.56,1.0,0.535,1440,
0x57d1dfc8ca922ecfe16667986df35fc388a97f049d348c194f625ab13ed0154d,nfl-chi-cin-2024-08-17,2024-08-17T17:00:00Z,2024-08-17T17:00:00Z,22689465066954853116275910631952310666733199665879977862431164108303277400563,0.71,1.0,0.695,1440,
0x9701113c83ca981a88f6ccec69bf84663e4fa7f01d10afd868525f83869f063e,nfl-hou-nyg-2024-08-17,2024-08-17T17:00:00Z,2024-08-17T17:00:00Z,11181192370917769629879742366586643273898257297519721610397677526511329873684,0.555,1.0,0.59,1440,
0xd065c173a6bffdc34729032db34910d0672b834bb2ebee10e835896f2d434342,nfl-kc-det-2024-08-17,2024-08-17T20:00:00Z,2024-08-17T20:00:00Z,18826653548486584325512231638722408856145884923916580481299652328817208252186,0.775,1.0,0.725,1440,
0xec6411ce19f9d29c5b4a7465a848b22a1fd638a8a8fe496f30ff10b6d0811248,nfl-lac-lar-2024-08-17,2024-08-17T20:05:00Z,2024-08-17T20:05:00Z,69059620830672534765270150155808164082340338686463658818632227189435044888576,0.62,1.0,0.57,1440,
0x72518793d4b046de4d936caa9da59d4e69cd47ee0bbf985b1a4ee6a76efcdd5a,nfl-cle-min-2024-08-17,2024-08-17T20:25:00Z,2024-08-17T20:25:00Z,84771412628439539997679703929846930413037170547394186131756062487183654615112,0.585,1.0,0.605,1440,
0x7fda23e1a1c7476ece931a79f4a92fa2a4a41f8536c16e5abb02bd0fd317e622,nfl-car-nyj-2024-08-17,2024-08-17T23:00:00Z,2024-08-17T23:00:00Z,60718204776208459251879244025830311809681799766154215274094622058772783871666,0.555,1.0,0.485,1440,
0xf2bcd3865b1fba3de43071a0b4dd3d44291e1f16369a1f268c791b75af4caeeb,nfl-ind-ari-2024-08-17,2024-08-17T23:00:00Z,2024-08-17T23:00:00Z,99638088881781400189043378868207815641636245900931913244261622621408726735317,0.45,1.0,0.57,1440,
0xd8539357e014b7d3c37786f1a2262c0f898643ba4b1043dfef2764e65a4bd773,nfl-mia-wsh-2024-08-17,2024-08-17T23:00:00Z,2024-08-17T23:00:00Z,94141666434182868508041495082375208513036986942058034844560315182675288429208,0.655,1.0,0.67,1440,0.345
0xb6c45df45afa17cc21abd3af127d0540c4c51204342ae69eac432f0d178ae0cf,nfl-pit-buf-2024-08-17,2024-08-17T23:00:00Z,2024-08-17T23:00:00Z,36665737470174812703215690108496387660941508772449020048516665604986569662950,0.59,1.0,0.54,1440,
0x3e5d40fcb2c79f084acc7e176ec5ce529c2a388530ad488e4778be3610f79c5f,nfl-ten-sea-2024-08-17,2024-08-17T23:00:00Z,2024-08-17T23:00:00Z,59968721770986019075150039630283970393022368852265526379485777457688555019172,0.46,1.0,0.46,1440,
0xbf2ecb2b64da976757a8a3bf62475fb1d912f7b3a097b3ec3c92694d5710e60e,nfl-jax-tb-2024-08-17,2024-08-17T23:30:00Z,2024-08-17T23:30:00Z,71379615822678669773963089636442499743043917409768931714681144800746248568296,0.635,1.0,0.565,1440,
