condition_id,event_slug,game_start_utc,cutoff_utc,no_run_token,first_pitch_price,minutes_before,day_before_price,points,run_token_first_pitch_price
0xcb777dfd829a93557b612b3d8841fcb12d20d68abf8f86bae0a35e4978df5a53,mlb-phi-mil-2025-09-04,2025-09-04T20:10:00Z,2025-09-04T20:10:00Z,99089968173757266860440995821578409268145351969808399760501988248417723805693,0.5,1.0,0.715,960,
0x551e0002429173412e782aa56a93319538cdde6a27e865789bd15b25e75c0227,mlb-cws-min-2025-09-04,2025-09-04T23:40:00Z,2025-09-04T23:40:00Z,55968624144542386191220019083005962378170614763641678629207514859590809462736,0.45,0.9,0.695,1169,
0x2d87033b6920b3bf47fc8d2efcdbe826291c766cbfa01d3cb39a8d8bc6f60e8a,mlb-nyy-hou-2025-09-04,2025-09-04T23:40:00Z,2025-09-04T23:40:00Z,103930008027459866777871178809328201012008295063607964682787595546582677261163,0.56,0.9,0.5,1169,
0x2e9f25e664af8e80d897b9b9bf3ea0eefcef8eceb85d7beb2e0731abde14aeb3,mlb-wsh-chc-2025-09-05,2025-09-05T18:20:00Z,2025-09-05T18:20:00Z,1939209024868265637183532853583575217619271833446086305706871988806489648920,0.5,0.9,0.5,800,
0xce55919e8659dcd55c49930dbf7ddec6160f4ed902c0db85f6cfc34728c8351a,mlb-cws-det-2025-09-05,2025-09-05T22:40:00Z,2025-09-05T22:40:00Z,3361754365813421582439350109397845466126231747811954766095478937927832009539,0.5,0.9,0.5,1060,
0x4b1ba2562c2e7f215391359c680f4ae47fda2bd572545eac90405e75bc8a1935,mlb-mil-pit-2025-09-05,2025-09-05T22:40:00Z,2025-09-05T22:40:00Z,35851828782315539240220784024409683639130905772961587785341093344412696537022,0.5,0.9,0.5,1060,
0x2e42d59fbb5edbf2abd4e81b1e672a3226a24cf058a46b93b9760d61c57f14e4,mlb-nym-cin-2025-09-05,2025-09-05T22:40:00Z,2025-09-05T22:40:00Z,11786769826903219063830617695614793373973821653915227452948022997907236745545,0.5,0.9,0.5,1060,
0x3951da139b7ebd26079a956d0f3d482d12bc681c2f76ccc3916c887dbff51e5a,mlb-lad-bal-2025-09-05,2025-09-05T23:05:00Z,2025-09-05T23:05:00Z,11766672799395080812630344760526149971568446257994699243169508820843436806105,0.5,1.0,0.5,1085,
0x78ea3db9ccc360b46db25a21ccbabd5f531b3d6b89de7c54f6eaee4cf1c73b49,mlb-tor-nyy-2025-09-05,2025-09-05T23:05:00Z,2025-09-05T23:05:00Z,37588197695268974931754434920326142574553170611808198354056146960769533702804,0.5,1.0,0.5,1085,
0x7180451dce22fe95f6fb6b88eb97aab4eb1b79d3a225d898cb704c67e68bdc5c,mlb-phi-mia-2025-09-05,2025-09-05T23:10:00Z,2025-09-05T23:10:00Z,79699633779975984432013152087706716301070508365062794135292740372144946808755,0.5,0.9,0.5,1090,
0xce24a9196d1c702a47afce0f42c66be1734a45261e341db32762d1e6fd9ae128,mlb-sea-atl-2025-09-05,2025-09-05T23:15:00Z,2025-09-05T23:15:00Z,17039042875240071970202548154161133528605441084966539957746621297648693021491,0.5,0.9,0.5,1095,
0xe52694bbe7007e66ea61bd5868ced41967a9144af15c055c0f0e6ece76531f4c,mlb-cle-tb-2025-09-05,2025-09-05T23:35:00Z,2025-09-05T23:35:00Z,40747046032311797855441101538969212103698166049581506010530184776704193381588,0.5,0.9,0.5,1114,
0xea3db2d880c1153e5c33c68f6c17599b560fd58de97e47d529d6580adc6626fb,mlb-min-kc-2025-09-05,2025-09-05T23:40:00Z,2025-09-05T23:40:00Z,82083755069386256955929770979761539435424198349367503405168427648383244080294,0.5,0.9,0.5,1119,0.5
0x9235a1d2c0f110b6600f889b7833a89ed9921d265a92eebbd133d186cc3d3a53,mlb-hou-tex-2025-09-05,2025-09-06T00:05:00Z,2025-09-06T00:05:00Z,54129828868248082934915059422132476652969278779449991220940873364056595168425,0.5,0.9,0.5,1144,
