condition_id,event_slug,league,away,home,away_token,home_token,game_start_utc,winning_outcome,volume_usd
0xc350c67905c6c3b294f7d0296a27af3b221f2f53ace61817281ef9bd2f7ae059,nfl-mia-atl-2024-08-09,nfl,Dolphins,Falcons,84782319822701372418020774321247147364923197582699680151900156404141954967193,91709618370365058241802267650657075761410728248691506893839651778798695906994,2024-08-08T23:00:00Z,0,13617
0x2c9e06b6e56eb626beea2493361a7eed6d6f5225ae11f1039a441bdb38ddbcb9,nfl-ne-car-2024-08-08,nfl,Patriots,Panthers,54845426279977410835074011280121730103859577465356121442696230233180477514766,58520549715096572272899580508655599530517855669175056684948331014432760410358,2024-08-08T23:00:00Z,0,1313
0x1e4cc8b71d164b61c11a01e20050cc89a4a614a24c1091c14aa9adc05896b05c,nfl-nyg-det-2024-08-08,nfl,Giants,Lions,74690884199765406076012261487902653084988697638977488876001290300099066944474,27690259187739364961219945685170087268351182868552856918738699707684686585361,2024-08-08T23:00:00Z,0,17900
0x1e0e3376d6e50157035c946bbc714815af44b9f017a454f91c2df93e7221bfe8,nfl-pit-hou-2024-08-09,nfl,Steelers,Texans,99414131493497876580013603382579414801939663361290293421785813507902141059074,84894893134120164731581064606599889461764666715814503652166621975673151916709,2024-08-08T23:00:00Z,1,23421
0x7613667579785d4f6e981e78d81099bb48af4c8a37f3f54aafaabd629691511c,nfl-bal-phi-2024-08-09,nfl,Ravens,Eagles,58635080483157066746693733711249022664096895589944567454135870801207475802986,37700251816782254389920962340018242587802627224285589451748869176454543425315,2024-08-08T23:30:00Z,1,8159
0xd46869ee4d90141f2fab3a40738a0edb33fe94e2d355d08aa4de978247f5aab4,nfl-nyj-wsh-2024-08-10,nfl,Jets,Commanders,108645642441514902129865528329972993910791501048303871673421008008303011070540,12054707629125985557646809582942329302431706534051012581073734010190880668487,2024-08-10T16:00:00Z,0,805
0x41c0924d37aeb35920ca4d1678f54adf62091ef2cdf4ecd0b5b14ab8a94a4cb4,nfl-buf-chi-2024-08-10,nfl,Bills,Bears,42992609268953340650434555444177533413443035964092571550700726059654946099891,108294035407009869070136352541433186109668931368453132564812965103724902612076,2024-08-10T17:00:00Z,1,23414
0x0d8cbc863ef16e86b99663877df5b7c636a76168ee3eb042a9a66967c4de150f,nfl-min-las-2024-08-10,nfl,Vikings,Raiders,1651462181290356896381651467154010534670925125016793850849443913703200931529,102514075021581991491861293417922309518944344972798383695266147135006955837133,2024-08-10T20:00:00Z,0,41294
0x990dde5becba8babe20283331f3bdaccc711022f5c578bfd1c03af958dec40a4,nfl-cle-gb-2024-08-10,nfl,Browns,Packers,41099427276406301514637012344744341115521211459478028605337309128657147223980,37521893159899238319920662149139726967631286323313137308447077912065946058588,2024-08-10T20:25:00Z,1,14096
0x3e3a32ceb5076f7659a8a66b4ed8324fbf9f80c2439bbe53ccb16b30fed1e0a0,nfl-cin-tb-2024-08-10,nfl,Bengals,Buccaneers,22366991165951249823187878798081390753430317190079230985098096684507546686188,13468255169820364058321818770412548882937449487946802522368092713391669446492,2024-08-10T23:00:00Z,1,7556
0xba8ef02cc8e9819d8d46954f568d98abd1d43cc5d4647eb916020a79a5a5d20f,nfl-jax-kc-2024-08-10,nfl,Jaguars,Chiefs,90943405455376544824926683621839963203149883718648635847158071297023283333091,39080313705601294018135866508061184871683432592145176034971290451658467139618,2024-08-10T23:00:00Z,0,1726
0x0ad68cef63e0d6fc1700ca4ea272a70c409e1a52ce93a6cc6373f711dba7f1d5,nfl-ten-sf-2024-08-10,nfl,Titans,49ers,22104130472177828026697190670257838460437241105572312016566637708724705181178,93353088946857276627603747695745672235567336984124666471032141242806191765876,2024-08-10T23:00:00Z,0,12393
0xa50376835907c3e8a4a5c71920b3603933cf9e4e52607c751dae5142cf670c40,nfl-lac-sea-2024-08-10,nfl,Chargers,Seahawks,38344266540775944157909813787579223413239554485221332263919664109867651150130,84127724542026622154137726025863895196723309996380570087095558428218924907058,2024-08-10T23:05:00Z,1,13496
0xf560a49cec303d35f21cbfe9e15f854fb5a4438d374f4835213042b7ce4b8b83,nfl-ari-no-2024-08-10,nfl,Cardinals,Saints,65716471656297055170127208946093500741541347908119250515706774410253604633485,40258045193779134642430478784158600929802127235960154557055823060544324556175,2024-08-11T00:00:00Z,1,12837
0x4767200a3408052dbd2a28f00b4eab336eb8fab551093529d7314e9d4604a3f0,nfl-ind-den-2024-08-11,nfl,Colts,Broncos,58475458840823181620946181788662303518668666918449783139197591797048209007491,87128378777745567038818485933300259177730421735793885340101641805104671270786,2024-08-11T17:00:00Z,1,30112
0x50b55c2f36de0c195b944b569824f1e6239d8a16905c8e85dee272a7514e96ac,nfl-lar-dal-2024-08-11,nfl,Rams,Cowboys,71103298443938986491314080805640065254295319529540573424228647001611116260012,93221317390663368022957788578761600992983486363230335549755511359352249054248,2024-08-11T20:30:00Z,0,74059
